"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","TOTAL AREA (1000 ha)"
"96","2007","7","Maharashtra","Thane","133.8","0.2","0.0","0.0","0.0","0.0","134.0"
"96","2008","7","Maharashtra","Thane","140.6","0.1","0.0","0.0","0.0","0.0","140.7"
"97","2007","7","Maharashtra","Raigad","126.9","0.0","0.0","0.0","0.0","0.0","126.9"
"97","2008","7","Maharashtra","Raigad","132.3","0.0","0.0","0.0","0.0","0.0","132.3"
"98","2007","7","Maharashtra","Ratnagiri","148.4","0.0","0.0","0.0","0.0","0.0","148.4"
"98","2008","7","Maharashtra","Ratnagiri","156.0","0.0","0.0","0.0","0.0","0.0","156.0"
"99","2007","7","Maharashtra","Nasik","48.1","79.0","9.7","205.0","0.5","0.0","342.3"
"99","2008","7","Maharashtra","Nasik","51.2","71.9","6.5","197.9","0.6","0.0","328.1"
"100","2007","7","Maharashtra","Dhule","24.2","50.8","87.3","119.2","0.7","0.0","282.2"
"100","2008","7","Maharashtra","Dhule","25.8","30.7","81.3","139.7","0.9","0.0","278.4"
"101","2007","7","Maharashtra","Jalgaon","0.1","52.6","148.8","46.5","2.3","0.0","250.3"
"101","2008","7","Maharashtra","Jalgaon","0.0","31.6","141.1","33.0","1.2","0.0","206.9"
"102","2007","7","Maharashtra","Ahmednagar","8.6","130.9","473.3","232.6","1.5","0.0","846.9"
"102","2008","7","Maharashtra","Ahmednagar","9.3","138.2","476.9","128.2","3.0","0.0","755.6"
"103","2007","7","Maharashtra","Pune","59.7","73.4","379.0","107.8","1.5","0.0","621.4"
"103","2008","7","Maharashtra","Pune","61.2","60.9","405.0","34.5","1.1","0.0","562.7"
"104","2007","7","Maharashtra","Satara","49.2","43.3","139.5","79.9","0.8","0.0","312.7"
"104","2008","7","Maharashtra","Satara","49.7","40.2","200.4","6.4","0.9","0.0","297.6"
"105","2007","7","Maharashtra","Sangli","18.7","29.8","140.2","82.5","1.4","0.0","272.6"
"105","2008","7","Maharashtra","Sangli","18.5","24.6","202.8","12.5","1.4","0.0","259.8"
"106","2007","7","Maharashtra","Solapur","0.3","75.0","580.9","20.6","1.5","0.0","678.3"
"106","2008","7","Maharashtra","Solapur","0.1","62.6","646.4","1.8","1.9","0.0","712.8"
"107","2007","7","Maharashtra","Kolhapur","112.6","10.5","19.8","0.0","2.5","0.0","145.4"
"107","2008","7","Maharashtra","Kolhapur","114.4","9.6","20.6","0.0","2.8","0.0","147.4"
"108","2007","7","Maharashtra","Aurangabad","0.0","73.3","257.8","154.6","0.3","0.0","486.0"
"108","2008","7","Maharashtra","Aurangabad","0.0","62.4","324.5","140.9","0.3","0.0","528.1"
"109","2007","7","Maharashtra","Parbhani","10.7","90.1","298.1","6.2","0.3","0.0","405.4"
"109","2008","7","Maharashtra","Parbhani","6.3","54.8","275.0","6.4","1.5","0.0","344.0"
"110","2007","7","Maharashtra","Beed","1.4","61.8","267.0","162.1","0.8","0.0","493.1"
"110","2008","7","Maharashtra","Beed","0.7","65.2","294.5","135.0","1.2","0.0","496.6"
"111","2007","7","Maharashtra","Nanded","13.8","22.7","193.3","0.0","0.1","0.0","229.9"
"111","2008","7","Maharashtra","Nanded","7.9","19.8","137.1","0.2","0.2","0.0","165.2"
"112","2007","7","Maharashtra","Osmanabad","27.7","67.2","455.6","24.9","0.9","0.0","576.3"
"112","2008","7","Maharashtra","Osmanabad","8.7","68.4","472.9","22.1","1.4","0.0","573.5"
"113","2007","7","Maharashtra","Buldhana","0.0","59.3","75.0","2.8","0.5","0.0","137.6"
"113","2008","7","Maharashtra","Buldhana","0.0","47.4","62.6","3.7","0.3","0.0","114.0"
"114","2007","7","Maharashtra","Akola","0.1","83.1","113.3","1.6","0.2","0.0","198.3"
"114","2008","7","Maharashtra","Akola","0.1","50.4","76.9","1.3","0.1","0.0","128.8"
"115","2007","7","Maharashtra","Amarawati","6.3","53.7","77.9","0.2","0.1","0.0","138.2"
"115","2008","7","Maharashtra","Amarawati","4.5","45.4","40.3","0.3","0.1","0.0","90.6"
"116","2007","7","Maharashtra","Yeotmal","0.6","45.6","81.7","0.7","0.0","0.0","128.6"
"116","2008","7","Maharashtra","Yeotmal","0.5","38.0","74.4","1.5","0.0","0.0","114.4"
"117","2007","7","Maharashtra","Wardha","0.0","27.7","11.0","0.0","0.0","0.0","38.7"
"117","2008","7","Maharashtra","Wardha","0.0","19.2","4.6","0.0","0.0","0.0","23.8"
"118","2007","7","Maharashtra","Nagpur","49.7","67.2","24.1","0.0","0.0","0.0","141.0"
"118","2008","7","Maharashtra","Nagpur","56.9","40.7","19.3","0.0","0.0","0.0","116.9"
"119","2007","7","Maharashtra","Bhandara","388.7","18.2","0.0","0.0","0.0","0.0","406.9"
"119","2008","7","Maharashtra","Bhandara","363.9","8.8","0.0","0.0","0.0","0.0","372.7"
"120","2007","7","Maharashtra","Chandrapur","316.2","37.4","25.0","0.0","0.0","0.0","378.6"
"120","2008","7","Maharashtra","Chandrapur","311.5","30.9","9.4","0.0","0.0","0.0","351.8"