"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"95","2008","7","Maharashtra","Bombay","0.0","0.0","0.1","0.0","0.5","768.0","910.2","498.8","338.0","15.4","1.6","0.2","2532.8"
"95","2009","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","1.3","241.0","956.8","247.4","420.8","190.8","0.0","0.0","2058.1"
"95","2012","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","0.0","233.8","510.2","448.8","453.6","162.4","0.0","0.0","1808.8"
"95","2013","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","0.0","992.3","915.3","245.6","248.5","75.8","3.2","0.3","2480.8"
"95","2014","7","Maharashtra","Bombay","0.5","3.9","0.0","0.0","0.0","71.3","1412.1","445.2","288.8","34.8","5.0","15.8","2277.2"
"95","2015","7","Maharashtra","Bombay","0.0","0.0","13.3","0.7","1.2","986.5","319.7","171.1","236.8","52.3","1.6","0.0","1783.1"
"96","2008","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","528.0","925.1","846.5","443.9","37.7","0.1","0.1","2781.4"
"96","2009","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","131.1","1290.5","176.2","203.2","189.2","0.0","0.0","1990.2"
"96","2012","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","241.0","725.7","544.4","577.3","104.5","0.0","0.0","2192.9"
"96","2013","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","12.5","911.2","1157.7","483.6","357.6","103.8","0.1","0.0","3026.5"
"96","2014","7","Maharashtra","Thane","0.3","2.8","0.7","0.1","0.5","111.9","1266.8","625.8","426.5","34.1","2.8","0.0","2472.3"
"96","2015","7","Maharashtra","Thane","0.0","0.0","21.9","0.0","0.0","545.4","657.9","258.6","235.8","60.6","47.7","0.0","1827.9"
"97","2008","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","815.4","912.9","965.5","542.2","86.2","0.4","0.6","3323.2"
"97","2009","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.1","205.4","1185.3","287.5","349.3","228.9","0.0","0.0","2256.5"
"97","2012","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","441.8","937.8","898.1","618.7","174.9","0.0","0.0","3071.3"
"97","2013","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.3","1177.7","1712.0","457.8","332.7","112.7","3.0","6.5","3802.7"
"97","2014","7","Maharashtra","Raigad","0.0","1.0","0.3","0.0","6.5","154.2","1418.6","752.0","521.7","69.9","9.2","24.1","2957.5"
"97","2015","7","Maharashtra","Raigad","0.0","0.0","54.2","1.6","11.5","897.6","543.3","365.6","247.8","106.1","16.7","0.0","2244.4"
"98","2008","7","Maharashtra","Ratnagiri","0.0","0.0","5.2","0.0","40.5","871.7","660.3","826.4","520.9","55.2","0.1","10.9","2991.2"
"98","2009","7","Maharashtra","Ratnagiri","0.0","0.0","0.6","0.0","0.3","316.5","1350.7","402.6","512.5","291.2","0.0","0.0","2874.4"
"98","2012","7","Maharashtra","Ratnagiri","0.0","0.0","0.0","0.0","0.7","783.0","1261.7","871.5","537.7","266.1","0.0","0.0","3720.7"
"98","2013","7","Maharashtra","Ratnagiri","0.0","0.2","0.0","0.0","12.1","1352.0","1786.0","593.7","352.8","260.3","0.3","0.0","4357.4"
"98","2014","7","Maharashtra","Ratnagiri","0.0","0.0","0.0","0.0","6.5","322.1","1480.0","600.5","523.9","83.3","12.9","5.3","3034.5"
"98","2015","7","Maharashtra","Ratnagiri","6.0","0.0","31.7","0.0","6.7","1030.4","408.4","446.0","282.0","129.5","13.3","0.0","2354.0"
"99","2008","7","Maharashtra","Nasik","0.0","0.0","0.0","1.0","0.0","53.2","246.2","353.7","475.5","53.8","0.2","0.5","1184.1"
"99","2009","7","Maharashtra","Nasik","0.0","0.0","1.3","0.2","14.6","45.5","371.4","123.1","113.6","73.2","0.0","0.0","742.9"
"99","2012","7","Maharashtra","Nasik","0.0","0.0","0.0","0.0","17.7","81.6","290.6","295.6","184.8","80.3","0.0","0.0","950.6"
"99","2013","7","Maharashtra","Nasik","0.0","5.1","0.7","3.9","0.4","253.0","406.1","239.1","220.3","81.3","1.7","0.0","1211.6"
"99","2014","7","Maharashtra","Nasik","5.7","5.7","22.2","0.0","70.7","30.1","379.1","252.6","222.5","29.3","39.2","16.4","1073.5"
"99","2015","7","Maharashtra","Nasik","3.3","0.0","37.8","7.9","0.0","177.3","254.6","90.2","206.9","36.4","24.3","0.0","838.7"
"100","2008","7","Maharashtra","Dhule","0.0","0.0","0.0","0.0","0.0","19.5","153.3","80.0","211.0","8.3","0.0","0.0","472.1"
"100","2009","7","Maharashtra","Dhule","0.0","0.0","0.0","0.0","0.0","60.8","187.3","113.3","155.3","49.0","0.0","0.0","565.7"
"100","2012","7","Maharashtra","Dhule","0.0","0.0","0.0","0.0","0.0","39.7","171.4","113.3","69.3","10.6","0.0","0.0","404.3"
"100","2013","7","Maharashtra","Dhule","0.0","20.5","1.0","0.8","0.0","220.2","277.2","166.5","145.3","89.6","0.0","0.0","921.1"
"100","2014","7","Maharashtra","Dhule","11.5","6.5","26.4","0.0","0.0","48.0","226.3","105.4","171.7","2.6","22.5","0.4","621.3"
"100","2015","7","Maharashtra","Dhule","0.0","0.0","0.0","0.0","0.0","151.6","93.8","78.2","210.0","6.6","0.5","0.0","540.7"
"101","2008","7","Maharashtra","Jalgaon","0.0","0.0","0.0","0.0","0.0","59.7","141.7","92.7","235.0","18.2","0.0","0.0","547.3"
"101","2009","7","Maharashtra","Jalgaon","0.9","0.0","0.0","0.0","2.0","62.5","224.9","115.9","125.8","62.7","0.0","0.0","594.7"
"101","2012","7","Maharashtra","Jalgaon","0.0","0.0","0.0","0.0","11.7","21.5","165.5","105.9","88.7","14.8","0.0","0.0","408.1"
"101","2013","7","Maharashtra","Jalgaon","0.0","22.2","1.2","0.7","0.0","208.2","251.1","215.1","173.1","57.8","0.0","0.0","929.4"
"101","2014","7","Maharashtra","Jalgaon","10.9","31.1","34.8","0.2","0.7","21.3","252.0","131.9","202.4","1.7","9.5","52.6","749.1"
"101","2015","7","Maharashtra","Jalgaon","0.7","5.8","48.3","12.0","7.2","99.3","45.9","135.7","134.9","3.0","1.9","0.0","494.7"
"102","2008","7","Maharashtra","Ahmednagar","0.0","0.0","51.9","4.5","0.0","37.7","65.2","108.4","327.3","53.0","0.9","0.0","648.9"
"102","2009","7","Maharashtra","Ahmednagar","0.0","0.0","0.0","0.0","0.0","75.6","122.0","127.3","123.0","73.4","0.0","0.0","521.3"
"102","2012","7","Maharashtra","Ahmednagar","0.0","0.0","0.0","3.5","10.3","40.0","86.0","63.6","90.8","99.2","0.7","0.0","394.1"
"102","2013","7","Maharashtra","Ahmednagar","0.0","1.0","0.0","0.0","0.0","142.1","144.1","56.0","182.5","75.5","0.0","0.0","601.2"
"102","2014","7","Maharashtra","Ahmednagar","0.1","1.7","32.7","0.1","14.6","21.0","92.9","198.7","44.6","27.6","63.1","3.4","500.5"
"102","2015","7","Maharashtra","Ahmednagar","0.5","0.0","69.9","0.4","6.6","96.4","34.7","32.9","169.7","35.0","27.1","0.0","473.2"
"103","2008","7","Maharashtra","Pune","0.0","0.0","13.7","0.8","0.8","148.4","99.5","216.1","259.4","60.1","4.4","6.8","810.0"
"103","2009","7","Maharashtra","Pune","0.0","0.0","0.4","0.0","2.3","60.4","317.7","141.8","153.5","119.2","0.0","0.0","795.3"
"103","2012","7","Maharashtra","Pune","0.0","0.0","0.0","9.6","2.5","63.3","161.5","202.7","116.6","133.3","1.1","0.0","690.6"
"103","2013","7","Maharashtra","Pune","0.5","0.3","0.9","0.0","0.8","293.4","397.2","128.8","233.3","32.2","13.6","5.4","1106.4"
"103","2014","7","Maharashtra","Pune","1.2","1.2","36.9","4.3","21.8","42.6","385.5","345.0","104.7","29.2","22.7","12.2","1007.3"
"103","2015","7","Maharashtra","Pune","0.0","0.6","50.2","13.3","29.3","229.6","142.1","53.8","156.6","83.1","45.3","0.0","803.9"
"104","2008","7","Maharashtra","Satara","0.0","0.0","31.4","2.4","17.6","160.6","99.3","265.1","216.0","62.2","4.9","2.6","862.1"
"104","2009","7","Maharashtra","Satara","0.0","0.0","3.2","0.6","15.6","81.1","540.1","221.3","201.8","122.3","0.0","0.0","1186.0"
"104","2012","7","Maharashtra","Satara","0.0","0.0","0.0","23.8","4.7","113.2","195.9","232.1","122.1","125.0","1.4","0.0","818.2"
"104","2013","7","Maharashtra","Satara","0.0","1.4","0.3","4.4","8.4","240.8","290.9","117.0","218.2","35.8","3.9","4.5","925.6"
"104","2014","7","Maharashtra","Satara","0.0","0.0","9.6","12.4","57.1","58.1","310.8","358.9","80.1","68.1","44.7","2.8","1002.6"
"104","2015","7","Maharashtra","Satara","0.0","0.0","27.1","10.7","56.9","223.9","73.8","57.4","100.6","83.9","15.0","0.0","649.3"
"105","2008","7","Maharashtra","Sangli","0.0","0.0","59.8","30.5","25.6","79.9","36.0","170.7","207.2","110.6","5.5","0.2","726.0"
"105","2009","7","Maharashtra","Sangli","0.0","0.0","0.0","0.0","37.2","58.3","178.6","101.9","198.5","117.9","0.0","0.0","692.4"
"105","2012","7","Maharashtra","Sangli","0.0","0.0","0.0","18.3","5.7","49.6","103.0","68.9","70.4","145.1","9.4","0.0","470.4"
"105","2013","7","Maharashtra","Sangli","0.0","0.6","0.0","12.5","15.1","124.1","185.6","58.7","165.3","53.8","10.0","0.0","625.7"
"105","2014","7","Maharashtra","Sangli","0.0","0.0","5.7","27.0","38.8","65.8","211.6","217.1","62.2","94.9","26.9","22.4","772.4"
"105","2015","7","Maharashtra","Sangli","8.6","0.0","31.9","18.6","55.6","131.2","23.0","26.3","106.3","73.6","5.7","0.0","480.8"
"106","2008","7","Maharashtra","Solapur","0.0","0.0","49.7","7.7","4.8","27.7","63.4","156.2","279.1","58.0","25.4","0.5","672.5"
"106","2009","7","Maharashtra","Solapur","0.0","0.0","1.0","0.8","32.8","75.3","54.0","167.0","230.4","109.8","0.0","0.0","671.1"
"106","2012","7","Maharashtra","Solapur","0.0","0.0","0.0","31.4","28.7","54.7","87.8","47.9","94.2","105.3","4.6","0.0","454.6"
"106","2013","7","Maharashtra","Solapur","0.0","0.9","1.5","20.8","11.3","89.0","156.1","44.3","225.6","38.7","5.6","0.0","593.8"
"106","2014","7","Maharashtra","Solapur","0.0","10.1","35.5","17.0","44.6","51.5","78.9","195.5","44.3","28.8","35.4","5.4","547.0"
"106","2015","7","Maharashtra","Solapur","0.0","0.0","16.1","10.8","21.8","96.2","5.1","32.0","98.5","66.3","4.3","0.5","351.6"
"107","2008","7","Maharashtra","Kolhapur","0.0","0.0","56.5","3.3","69.1","435.8","329.6","671.3","419.1","91.8","1.8","3.7","2082.0"
"107","2009","7","Maharashtra","Kolhapur","0.0","0.0","2.6","0.8","1.8","93.9","1089.3","229.8","292.4","173.0","0.0","0.0","1883.6"
"107","2012","7","Maharashtra","Kolhapur","0.0","0.0","0.0","37.2","12.3","213.7","535.6","403.6","250.2","148.8","17.5","0.0","1618.9"
"107","2013","7","Maharashtra","Kolhapur","0.0","4.9","1.9","12.9","36.3","462.6","826.1","328.7","155.4","62.2","0.6","0.0","1891.6"
"107","2014","7","Maharashtra","Kolhapur","0.0","0.0","2.8","22.3","17.2","125.2","762.0","412.4","193.2","125.4","23.3","8.6","1692.4"
"107","2015","7","Maharashtra","Kolhapur","0.2","0.0","33.7","8.3","55.9","409.7","176.6","163.7","53.4","67.1","3.4","0.0","972.0"
"108","2008","7","Maharashtra","Aurangabad","0.0","0.0","39.0","1.8","0.0","73.5","88.0","123.9","314.4","40.0","3.0","0.6","684.2"
"108","2009","7","Maharashtra","Aurangabad","0.0","0.0","0.1","0.5","14.1","34.3","181.3","129.8","164.5","53.4","0.0","0.0","578.0"
"108","2012","7","Maharashtra","Aurangabad","0.0","0.0","0.0","6.8","16.3","52.1","124.1","72.4","83.9","49.2","0.1","0.0","404.9"
"108","2013","7","Maharashtra","Aurangabad","0.0","0.8","0.0","0.1","2.5","162.5","165.5","119.4","151.6","86.0","10.4","10.7","709.5"
"108","2014","7","Maharashtra","Aurangabad","4.4","5.5","67.9","7.6","7.4","19.8","142.1","152.0","97.9","12.4","47.4","17.8","582.2"
"108","2015","7","Maharashtra","Aurangabad","7.7","2.5","43.3","22.7","5.1","169.1","26.4","98.0","204.4","15.4","2.6","0.0","597.2"
"109","2008","7","Maharashtra","Parbhani","3.5","0.0","7.1","12.1","0.5","110.4","152.6","128.9","239.0","19.7","35.3","0.0","709.1"
"109","2009","7","Maharashtra","Parbhani","0.0","0.0","0.3","1.4","23.4","78.2","166.2","213.9","129.3","62.2","0.0","0.0","674.9"
"109","2012","7","Maharashtra","Parbhani","0.5","0.2","0.0","2.0","1.5","101.8","198.4","111.1","172.9","85.4","1.1","0.0","674.9"
"109","2013","7","Maharashtra","Parbhani","2.8","14.2","4.9","9.8","8.4","143.3","369.6","150.8","183.6","87.4","7.7","17.5","1000.0"
"109","2014","7","Maharashtra","Parbhani","0.0","20.5","144.5","5.1","8.2","36.8","77.8","160.1","87.0","2.9","25.0","0.0","567.9"
"109","2015","7","Maharashtra","Parbhani","8.3","0.3","21.6","55.4","8.5","93.9","24.8","80.7","148.3","9.9","0.0","0.0","451.7"
"110","2008","7","Maharashtra","Beed","0.0","0.0","0.0","0.0","0.0","44.8","81.3","164.2","289.8","27.0","0.0","0.0","607.1"
"110","2009","7","Maharashtra","Beed","0.0","0.0","0.0","0.0","13.8","84.6","150.9","152.7","230.8","77.2","0.0","0.0","710.0"
"110","2012","7","Maharashtra","Beed","0.0","0.0","0.0","0.0","0.0","55.4","107.4","81.6","105.0","81.3","0.9","0.0","431.6"
"110","2013","7","Maharashtra","Beed","0.0","0.0","1.2","4.6","2.2","127.6","205.0","92.3","152.8","76.9","3.0","24.9","690.5"
"110","2014","7","Maharashtra","Beed","0.0","1.4","69.6","10.7","5.6","32.0","95.3","178.4","48.1","13.4","2.9","0.0","457.4"
"110","2015","7","Maharashtra","Beed","5.2","0.0","31.2","38.3","5.8","67.4","11.8","79.4","123.2","22.4","18.6","0.0","403.3"
"111","2008","7","Maharashtra","Nanded","0.0","0.0","0.0","3.0","85.5","133.5","124.8","148.2","5.5","7.1","0.0","0.0","507.6"
"111","2009","7","Maharashtra","Nanded","0.0","0.0","0.0","0.0","11.5","70.3","125.3","132.8","98.0","56.2","0.0","0.0","494.1"
"111","2012","7","Maharashtra","Nanded","1.0","0.0","0.0","0.0","0.0","98.4","194.7","176.4","148.5","59.2","6.5","0.0","684.7"
"111","2013","7","Maharashtra","Nanded","1.7","33.2","0.0","15.5","20.0","197.3","452.4","199.6","132.0","109.7","13.9","0.0","1175.3"
"111","2014","7","Maharashtra","Nanded","0.0","19.0","96.4","10.9","6.4","30.9","82.0","191.6","99.0","10.7","8.0","0.0","554.9"
"111","2015","7","Maharashtra","Nanded","13.1","0.0","36.0","55.5","29.4","168.5","50.3","146.4","127.7","6.3","0.0","0.0","633.2"
"112","2008","7","Maharashtra","Osmanabad","0.0","0.0","46.9","22.8","0.0","51.2","88.5","187.8","355.6","5.8","10.3","2.3","771.2"
"112","2009","7","Maharashtra","Osmanabad","0.0","0.0","0.4","2.4","26.5","49.9","105.1","230.1","206.0","93.2","0.0","0.0","713.6"
"112","2012","7","Maharashtra","Osmanabad","0.0","0.0","0.0","10.8","17.2","46.5","145.1","49.6","114.3","50.4","6.4","0.0","440.3"
"112","2013","7","Maharashtra","Osmanabad","0.0","0.6","10.6","7.9","10.9","111.3","238.4","76.5","210.2","62.7","4.7","2.4","736.2"
"112","2014","7","Maharashtra","Osmanabad","0.0","18.6","47.6","23.4","18.9","42.1","128.1","217.1","56.0","23.0","47.4","0.3","622.5"
"112","2015","7","Maharashtra","Osmanabad","8.2","0.0","20.6","42.3","16.2","77.4","20.5","99.2","139.1","46.3","6.7","0.0","476.5"
"113","2008","7","Maharashtra","Buldhana","0.0","0.0","8.0","0.0","0.0","78.7","157.4","117.4","235.5","37.2","0.0","0.0","634.2"
"113","2009","7","Maharashtra","Buldhana","0.0","0.0","82.0","0.0","4.0","85.0","235.1","172.4","60.9","79.7","0.0","0.0","719.1"
"113","2012","7","Maharashtra","Buldhana","0.0","0.0","0.0","0.0","0.0","106.4","198.7","106.3","141.5","44.5","0.0","0.0","597.4"
"113","2013","7","Maharashtra","Buldhana","1.6","2.7","0.9","0.0","0.0","256.8","279.4","175.7","130.2","71.5","0.0","0.0","918.8"
"113","2014","7","Maharashtra","Buldhana","8.9","26.3","61.8","3.8","0.2","24.1","172.8","211.9","163.6","12.5","27.8","12.7","726.4"
"113","2015","7","Maharashtra","Buldhana","25.0","3.0","54.8","39.8","7.8","110.0","42.9","225.2","181.7","3.9","0.0","0.0","694.1"
"114","2008","7","Maharashtra","Akola","14.3","0.0","29.0","0.0","0.0","79.5","124.8","115.9","217.0","9.9","3.0","0.0","593.4"
"114","2009","7","Maharashtra","Akola","0.0","0.0","6.5","0.2","44.8","81.0","249.2","171.6","86.2","43.9","0.0","0.0","683.4"
"114","2012","7","Maharashtra","Akola","7.9","0.0","0.0","0.7","3.7","130.8","293.5","154.0","199.5","34.4","0.0","0.0","824.5"
"114","2013","7","Maharashtra","Akola","13.2","18.1","1.9","0.7","0.0","315.7","317.3","280.5","233.2","154.2","0.1","0.0","1334.9"
"114","2014","7","Maharashtra","Akola","1.1","47.5","34.4","6.7","3.6","24.7","299.1","159.4","199.9","1.4","15.3","5.1","798.2"
"114","2015","7","Maharashtra","Akola","43.4","1.0","122.3","44.4","1.9","157.3","67.3","258.2","131.9","6.6","0.0","0.0","834.3"
"115","2008","7","Maharashtra","Amarawati","0.0","0.0","8.0","9.0","2.0","75.0","173.4","128.9","170.8","28.8","5.0","0.0","600.9"
"115","2009","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.0","6.0","70.5","301.7","110.6","87.5","37.9","0.0","0.0","614.2"
"115","2012","7","Maharashtra","Amarawati","3.2","0.0","0.0","6.4","12.0","147.4","282.4","243.5","316.1","25.0","0.4","0.1","1036.5"
"115","2013","7","Maharashtra","Amarawati","16.1","4.3","6.7","2.0","2.0","286.6","307.3","258.1","131.5","99.6","0.0","0.0","1114.2"
"115","2014","7","Maharashtra","Amarawati","0.9","24.7","29.0","1.3","0.1","56.9","378.1","135.8","201.1","11.8","11.5","5.6","856.8"
"115","2015","7","Maharashtra","Amarawati","50.0","8.1","82.7","17.2","2.7","221.5","125.2","304.3","107.2","1.6","0.0","0.0","920.5"
"116","2008","7","Maharashtra","Yeotmal","0.0","0.0","72.4","7.2","5.2","83.4","178.1","196.5","130.6","31.1","0.0","0.0","704.5"
"116","2009","7","Maharashtra","Yeotmal","0.0","0.0","1.2","0.0","10.2","99.4","142.3","128.1","108.3","10.0","0.0","0.0","499.5"
"116","2012","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","0.0","151.2","352.4","185.3","192.3","41.8","5.7","0.0","928.7"
"116","2013","7","Maharashtra","Yeotmal","1.9","7.7","2.0","2.8","0.0","343.9","479.4","242.0","108.6","129.0","0.2","0.0","1317.5"
"116","2014","7","Maharashtra","Yeotmal","0.0","9.3","70.4","1.6","0.8","59.1","206.1","209.9","202.6","3.8","0.0","0.0","763.6"
"116","2015","7","Maharashtra","Yeotmal","22.3","3.9","59.0","19.0","9.8","204.9","85.1","203.7","169.7","2.1","0.0","0.0","779.5"
"117","2008","7","Maharashtra","Wardha","0.0","0.0","28.5","2.5","2.8","80.0","322.9","194.6","167.1","20.2","0.0","0.0","818.6"
"117","2009","7","Maharashtra","Wardha","0.0","0.0","0.0","3.8","19.0","78.1","290.8","162.8","87.1","23.7","0.0","0.0","665.3"
"117","2012","7","Maharashtra","Wardha","5.9","0.5","0.0","2.0","2.0","112.9","211.3","203.2","309.4","24.7","8.1","0.0","880.0"
"117","2013","7","Maharashtra","Wardha","16.5","16.3","5.8","7.5","0.0","306.9","495.1","168.9","94.4","115.9","0.0","0.0","1227.3"
"117","2014","7","Maharashtra","Wardha","0.0","19.7","41.3","0.3","4.0","73.0","400.5","119.5","172.2","22.9","3.8","0.0","857.2"
"117","2015","7","Maharashtra","Wardha","13.8","9.6","69.0","18.2","7.1","233.2","194.1","301.6","136.5","8.7","0.0","0.0","991.8"
"118","2008","7","Maharashtra","Nagpur","0.0","0.0","18.5","4.6","15.1","198.3","298.6","188.8","100.1","16.8","0.0","0.0","840.8"
"118","2009","7","Maharashtra","Nagpur","0.0","0.0","9.2","0.0","20.3","95.4","463.7","183.7","107.0","50.9","0.0","0.0","930.2"
"118","2012","7","Maharashtra","Nagpur","9.2","7.0","0.0","1.7","1.8","67.0","338.7","282.9","273.9","19.4","18.3","0.0","1019.9"
"118","2013","7","Maharashtra","Nagpur","6.9","8.1","8.4","0.7","0.0","390.0","478.7","339.3","101.6","109.8","0.0","0.0","1443.5"
"118","2014","7","Maharashtra","Nagpur","0.3","26.3","38.4","2.8","11.9","92.3","402.8","133.0","125.1","26.9","7.5","0.4","867.7"
"118","2015","7","Maharashtra","Nagpur","7.8","15.1","69.1","32.5","14.0","277.2","173.7","382.3","136.9","13.0","0.2","0.0","1121.8"
"119","2008","7","Maharashtra","Bhandara","179.1","308.3","295.1","98.3","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","881.5"
"119","2009","7","Maharashtra","Bhandara","0.0","71.7","481.6","223.0","133.8","17.9","0.0","0.0","0.0","0.0","0.0","0.0","928.0"
"119","2012","7","Maharashtra","Bhandara","52.1","0.0","0.0","0.0","0.0","137.4","409.2","526.6","233.4","8.6","25.5","0.0","1392.8"
"119","2013","7","Maharashtra","Bhandara","0.0","15.4","5.6","2.3","0.0","403.0","590.5","535.3","91.1","121.5","0.0","0.0","1764.7"
"119","2014","7","Maharashtra","Bhandara","0.0","33.9","36.7","5.8","14.1","70.5","466.2","228.9","149.8","6.3","0.0","0.0","1012.2"
"119","2015","7","Maharashtra","Bhandara","10.9","2.4","86.7","32.1","14.8","258.6","251.2","350.5","158.4","1.4","0.0","2.2","1169.2"
"120","2008","7","Maharashtra","Chandrapur","2.6","12.7","53.5","2.9","3.2","141.5","318.2","398.6","133.9","7.3","0.0","0.0","1074.4"
"120","2009","7","Maharashtra","Chandrapur","0.0","0.0","1.8","7.4","12.9","64.3","335.8","186.0","64.8","49.7","0.0","0.0","722.7"
"120","2012","7","Maharashtra","Chandrapur","7.8","0.0","0.0","2.3","0.0","102.8","444.3","455.2","253.2","54.3","18.4","0.0","1338.3"
"120","2013","7","Maharashtra","Chandrapur","4.0","25.7","1.1","4.6","1.9","425.4","785.7","344.4","113.8","197.7","0.0","0.0","1904.3"
"120","2014","7","Maharashtra","Chandrapur","0.0","5.7","61.3","1.1","9.7","69.4","309.0","178.3","277.0","12.0","1.0","0.0","924.5"
"120","2015","7","Maharashtra","Chandrapur","35.5","2.2","59.8","26.8","34.2","331.6","154.7","294.0","246.1","6.8","0.0","0.0","1191.7"