"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)","DISTRICT FEMALE FIELD LABOUR (Rs per Day)","STATE MALE AVERAGE FIELD LABOUR (Rs per Day)","STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)"
"96","2008","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0"
"96","2009","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0"
"97","2008","7","Maharashtra","Raigad","-1.0","-1.0","-1.0","-1.0"
"97","2009","7","Maharashtra","Raigad","-1.0","-1.0","-1.0","-1.0"
"98","2008","7","Maharashtra","Ratnagiri","-1.0","-1.0","-1.0","-1.0"
"98","2009","7","Maharashtra","Ratnagiri","-1.0","-1.0","-1.0","-1.0"
"99","2008","7","Maharashtra","Nasik","-1.0","-1.0","-1.0","-1.0"
"99","2009","7","Maharashtra","Nasik","-1.0","-1.0","-1.0","-1.0"
"100","2008","7","Maharashtra","Dhule","-1.0","-1.0","-1.0","-1.0"
"100","2009","7","Maharashtra","Dhule","-1.0","-1.0","-1.0","-1.0"
"101","2008","7","Maharashtra","Jalgaon","-1.0","-1.0","-1.0","-1.0"
"101","2009","7","Maharashtra","Jalgaon","-1.0","-1.0","-1.0","-1.0"
"101","2017","7","Maharashtra","Jalgaon","300.0","150.0","261.0","150.0"
"102","2008","7","Maharashtra","Ahmednagar","-1.0","-1.0","-1.0","-1.0"
"102","2009","7","Maharashtra","Ahmednagar","-1.0","-1.0","-1.0","-1.0"
"103","2008","7","Maharashtra","Pune","-1.0","-1.0","-1.0","-1.0"
"103","2009","7","Maharashtra","Pune","-1.0","-1.0","-1.0","-1.0"
"104","2008","7","Maharashtra","Satara","-1.0","-1.0","-1.0","-1.0"
"104","2009","7","Maharashtra","Satara","-1.0","-1.0","-1.0","-1.0"
"105","2008","7","Maharashtra","Sangli","-1.0","-1.0","-1.0","-1.0"
"105","2009","7","Maharashtra","Sangli","-1.0","-1.0","-1.0","-1.0"
"106","2008","7","Maharashtra","Solapur","-1.0","-1.0","-1.0","-1.0"
"106","2009","7","Maharashtra","Solapur","-1.0","-1.0","-1.0","-1.0"
"107","2008","7","Maharashtra","Kolhapur","-1.0","-1.0","-1.0","-1.0"
"107","2009","7","Maharashtra","Kolhapur","-1.0","-1.0","-1.0","-1.0"
"108","2008","7","Maharashtra","Aurangabad","-1.0","-1.0","-1.0","-1.0"
"108","2009","7","Maharashtra","Aurangabad","-1.0","-1.0","-1.0","-1.0"
"109","2008","7","Maharashtra","Parbhani","-1.0","-1.0","-1.0","-1.0"
"109","2009","7","Maharashtra","Parbhani","-1.0","-1.0","-1.0","-1.0"
"110","2008","7","Maharashtra","Beed","-1.0","-1.0","-1.0","-1.0"
"110","2009","7","Maharashtra","Beed","-1.0","-1.0","-1.0","-1.0"
"111","2008","7","Maharashtra","Nanded","-1.0","-1.0","-1.0","-1.0"
"111","2009","7","Maharashtra","Nanded","-1.0","-1.0","-1.0","-1.0"
"112","2008","7","Maharashtra","Osmanabad","-1.0","-1.0","-1.0","-1.0"
"112","2009","7","Maharashtra","Osmanabad","-1.0","-1.0","-1.0","-1.0"
"113","2008","7","Maharashtra","Buldhana","-1.0","-1.0","-1.0","-1.0"
"113","2009","7","Maharashtra","Buldhana","-1.0","-1.0","-1.0","-1.0"
"114","2008","7","Maharashtra","Akola","-1.0","-1.0","-1.0","-1.0"
"114","2009","7","Maharashtra","Akola","-1.0","-1.0","-1.0","-1.0"
"115","2008","7","Maharashtra","Amarawati","-1.0","-1.0","-1.0","-1.0"
"115","2009","7","Maharashtra","Amarawati","-1.0","-1.0","-1.0","-1.0"
"116","2008","7","Maharashtra","Yeotmal","-1.0","-1.0","-1.0","-1.0"
"116","2009","7","Maharashtra","Yeotmal","-1.0","-1.0","-1.0","-1.0"
"117","2008","7","Maharashtra","Wardha","-1.0","-1.0","-1.0","-1.0"
"117","2009","7","Maharashtra","Wardha","-1.0","-1.0","-1.0","-1.0"
"118","2008","7","Maharashtra","Nagpur","-1.0","-1.0","-1.0","-1.0"
"118","2009","7","Maharashtra","Nagpur","-1.0","-1.0","-1.0","-1.0"
"118","2012","7","Maharashtra","Nagpur","175.0","125.0","175.0","125.0"
"118","2016","7","Maharashtra","Nagpur","123.0","87.27","132.0","87.27"
"118","2017","7","Maharashtra","Nagpur","145.0","102.5","261.0","102.5"
"119","2008","7","Maharashtra","Bhandara","-1.0","-1.0","-1.0","-1.0"
"119","2009","7","Maharashtra","Bhandara","-1.0","-1.0","-1.0","-1.0"
"120","2008","7","Maharashtra","Chandrapur","-1.0","-1.0","-1.0","-1.0"
"120","2009","7","Maharashtra","Chandrapur","-1.0","-1.0","-1.0","-1.0"
"120","2013","7","Maharashtra","Chandrapur","123.0","100.0","119.55","100.0"
"120","2014","7","Maharashtra","Chandrapur","183.33","100.0","152.0","100.0"
"120","2016","7","Maharashtra","Chandrapur","300.0","150.0","132.0","150.0"
"120","2017","7","Maharashtra","Chandrapur","300.0","150.0","261.0","150.0"